Meddržavne selitve po: SELITVE, DRŽAVLJANSTVO, LETO , STATISTIÈNA REGIJA;;;;
;;;;
Priseljeni iz tujine;;;;
Priseljeni iz tujine;Državljani RS;;;
 ; ; ;Obalno-kraška;1020
 ; ;2008;;
 ; ; ;Pomurska;174
 ; ; ;Podravska;1080
 ; ; ;Koroška;112
 ; ; ;Savinjska;1034
 ; ; ;Zasavska;86
 ; ; ;Posavska;218
 ; ; ;Jugovzhodna Slovenija;472
 ; ; ;Osrednjeslovenska;1981
 ; ; ;Gorenjska;503
 ; ; ;Primorsko-kraška;332
 ; ; ;Goriška;575
 ; ; ;Obalno-kraška;776
 ; ;2009;;
 ; ; ;Pomurska;184
 ; ; ;Podravska;2175
 ; ; ;Koroška;259
 ; ; ;Savinjska;2396
 ; ; ;Zasavska;141
 ; ; ;Posavska;516
 ; ; ;Jugovzhodna Slovenija;1048
 ; ; ;Osrednjeslovenska;4286
 ; ; ;Gorenjska;1040
 ; ; ;Primorsko-kraška;424
 ; ; ;Goriška;1086
 ; ; ;Obalno-kraška;1516
 ; ;2010;;
 ; ; ;Pomurska;199
 ; ; ;Podravska;1486
 ; ; ;Koroška;159
 ; ; ;Savinjska;1627
 ; ; ;Zasavska;145
 ; ; ;Posavska;417
 ; ; ;Jugovzhodna Slovenija;660
 ; ; ;Osrednjeslovenska;4132
 ; ; ;Gorenjska;885
 ; ; ;Primorsko-kraška;292
 ; ; ;Goriška;764
 ; ; ;Obalno-kraška;1266
 ; ;2011;;
 ; ; ;Pomurska;106
 ; ; ;Podravska;829
 ; ; ;Koroška;101
 ; ; ;Savinjska;814
 ; ; ;Zasavska;93
 ; ; ;Posavska;253
 ; ; ;Jugovzhodna Slovenija;414
 ; ; ;Osrednjeslovenska;2651
 ; ; ;Gorenjska;570
 ; ; ;Primorsko-kraška;224
 ; ; ;Goriška;431
 ; ; ;Obalno-kraška;859
 ; ;2012;;
 ; ; ;Pomurska;107
 ; ; ;Podravska;736
 ; ; ;Koroška;72
 ; ; ;Savinjska;692
 ; ; ;Zasavska;49
 ; ; ;Posavska;183
 ; ; ;Jugovzhodna Slovenija;410
 ; ; ;Osrednjeslovenska;2180
 ; ; ;Gorenjska;493
 ; ; ;Primorsko-kraška;181
 ; ; ;Goriška;383
 ; ; ;Obalno-kraška;701
 ; ;2013;;
 ; ; ;Pomurska;96
 ; ; ;Podravska;797
 ; ; ;Koroška;101
 ; ; ;Savinjska;620
 ; ; ;Zasavska;67
 ; ; ;Posavska;169
 ; ; ;Jugovzhodna Slovenija;312
 ; ; ;Osrednjeslovenska;1908
 ; ; ;Gorenjska;411
 ; ; ;Primorsko-kraška;133
 ; ; ;Goriška;322
 ; ; ;Obalno-kraška;659
 ; ;2014;;
 ; ; ;Pomurska;96
 ; ; ;Podravska;901
 ; ; ;Koroška;122
 ; ; ;Savinjska;907
 ; ; ;Zasavska;60
 ; ; ;Posavska;204
 ; ; ;Jugovzhodna Slovenija;322
 ; ; ;Osrednjeslovenska;1993
 ; ; ;Gorenjska;420
 ; ; ;Primorsko-kraška;166
 ; ; ;Goriška;302
 ; ; ;Obalno-kraška;714
 ; ;2015;;
 ; ; ;Pomurska;134
 ; ; ;Podravska;841
 ; ; ;Koroška;84
 ; ; ;Savinjska;745
 ; ; ;Zasavska;67
 ; ; ;Posavska;189
 ; ; ;Jugovzhodna Slovenija;295
 ; ; ;Osrednjeslovenska;2272
 ; ; ;Gorenjska;493
 ; ; ;Primorsko-kraška;173
 ; ; ;Goriška;329
 ; ; ;Obalno-kraška;637
;;;;
Vir: Statistièni urad Republike Slovenije. ;;;;
 ;;;;
