Meddržavne selitve po: SELITVE, STAROSTNE SKUPINE, LETO, SPOL ,;;;;;
DRŽAVLJANSTVO;;;;;
;;;;;
Priseljeni iz tujine;;;;;
Priseljeni iz tujine;Starostne skupine - SKUPAJ;;;;
Priseljeni iz tujine;Starostne skupine - SKUPAJ;2000;;;
 ; ; ; ;Tuji državljani;486
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;39
 ; ; ; ;Tuji državljani;375
 ;20-24 let;;;;
 ; ;2000;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;40
 ; ; ; ;Tuji državljani;718
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;36
 ; ; ; ;Tuji državljani;252
 ; ;2001;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;43
 ; ; ; ;Tuji državljani;886
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;39
 ; ; ; ;Tuji državljani;461
 ; ;2002;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;64
 ; ; ; ;Tuji državljani;970
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;50
 ; ; ; ;Tuji državljani;497
 ; ;2003;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;60
 ; ; ; ;Tuji državljani;1029
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;33
 ; ; ; ;Tuji državljani;503
 ; ;2004;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;68
 ; ; ; ;Tuji državljani;1202
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;42
 ; ; ; ;Tuji državljani;435
 ; ;2005;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;74
 ; ; ; ;Tuji državljani;1956
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;51
 ; ; ; ;Tuji državljani;607
 ; ;2006;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;55
 ; ; ; ;Tuji državljani;3085
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;46
 ; ; ; ;Tuji državljani;601
 ; ;2007;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;54
 ; ; ; ;Tuji državljani;4481
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;65
 ; ; ; ;Tuji državljani;767
 ; ;2008;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;90
 ; ; ; ;Tuji državljani;4044
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;55
 ; ; ; ;Tuji državljani;825
 ; ;2009;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;115
 ; ; ; ;Tuji državljani;3831
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;92
 ; ; ; ;Tuji državljani;1081
 ; ;2010;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;74
 ; ; ; ;Tuji državljani;1187
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;52
 ; ; ; ;Tuji državljani;762
 ; ;2011;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;80
 ; ; ; ;Tuji državljani;796
 ; ; ;Ženske;;
 ; ; ; ;Državljani Republike Slovenije;55
 ; ; ; ;Tuji državljani;689
 ; ;2012;;;
 ; ; ;Moški;;
 ; ; ; ;Državljani Republike Slovenije;58
